Year, Coal_TWh, Oil_TWh, Natural_Gas_TWh, Nuclear_TWh, Total_Conventional_TWh
1965, ND      , ND     , ND             ,           0, ND
1966, ND      , ND     , ND             ,           0, ND
1967, ND      , ND     , ND             ,           0, ND
1968, ND      , ND     , ND             ,           0, ND
1969, ND      , ND     , ND             ,           0, ND
1970, ND      , ND     , ND             ,           0, ND
1971, ND      , ND     , ND             ,           0, ND
1972, ND      , ND     , ND             ,           0, ND
1973, ND      , ND     , ND             ,           0, ND
1974, ND      , ND     , ND             ,           0, ND
1975, ND      , ND     , ND             ,           0, ND
1976, ND      , ND     , ND             ,           0, ND
1977, ND      , ND     , ND             ,           0, ND
1978, ND      , ND     , ND             ,           0, ND
1979, ND      , ND     , ND             ,           0, ND
1980, ND      , ND     , ND             ,           0, ND
1981, ND      , ND     , ND             ,           0, ND
1982, ND      , ND     , ND             ,           0, ND
1983, ND      , ND     , ND             ,           0, ND
1984, ND      , ND     , ND             ,           0, ND
1985, 0.44    , 1.01   , 1.96           ,           0, 3.41
1986, ND      , ND     , ND             ,           0, ND
1987, ND      , ND     , ND             ,           0, ND
1988, ND      , ND     , ND             ,           0, ND
1989, ND      , ND     , ND             ,           0, ND
1990, 1.44    , 0.89   , 2.73           ,           0, 5.06
1991, ND      , ND     , ND             ,           0, ND
1992, ND      , ND     , ND             ,           0, ND
1993, ND      , ND     , ND             ,           0, ND
1994, ND      , ND     , ND             ,           0, ND
1995, ND      , ND     , ND             ,           0, ND
1996, ND      , ND     , ND             ,           0, ND
1997, ND      , ND     , ND             ,           0, ND
1998, ND      , ND     , ND             ,           0, ND
1999, ND      , ND     , ND             ,           0, ND
2000, 3.78    , 0.61   , 5.18           ,           0, 9.57
2001, ND      , ND     , ND             ,           0, ND
2002, ND      , ND     , ND             ,           0, ND
2003, ND      , ND     , ND             ,           0, ND
2004, ND      , ND     , ND             ,           0, ND
2005, ND      , ND     , ND             ,           0, ND
2006, ND      , ND     , ND             ,           0, ND
2007, ND      , ND     , ND             ,           0, ND
2008, ND      , ND     , ND             ,           0, ND
2009, ND      , ND     , ND             ,           0, ND
2010, 6.85    , 0.35   , 8.96           ,           0, 16.16
2011, ND      , ND     , ND             ,           0, ND
2012, ND      , ND     , ND             ,           0, ND
2013, ND      , ND     , ND             ,           0, ND
2014, ND      , ND     , ND             ,           0, ND
2015, ND      , ND     , ND             ,           0, ND
2016, ND      , ND     , ND             ,           0, ND
2017, ND      , ND     , ND             ,           0, ND
2018, ND      , ND     , ND             ,           0, ND
2019, ND      , ND     , ND             ,           0, ND
2020, 10.80   , 1.34   , 10.11          ,           0, 22.25
2021, 6.01    , 0.80   , 13.82          ,           0, 20.63
2022, 8.13    , 1.76   , 15.63          ,           0, 25.52
